ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7521053,HS324458,05/24/2010 06:23:00 PM,011XX S FRANCISCO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1135,011,28,29,18,1157198,1894932,2010,02/04/2016 06:33:39 AM,41.867459843,-87.698374433,"(41.867459843, -87.698374433)"
7521054,HS324344,05/24/2010 05:45:00 PM,043XX N PULASKI RD,0460,BATTERY,SIMPLE,STREET,false,false,1722,017,39,16,08B,1148953,1928321,2010,02/04/2016 06:33:39 AM,41.959245842,-87.727777899,"(41.959245842, -87.727777899)"
7521057,HS324554,05/23/2010 02:00:00 AM,052XX S MELVINA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0811,008,23,56,08B,1135927,1869195,2010,02/04/2016 06:33:39 AM,41.797238619,-87.777076516,"(41.797238619, -87.777076516)"
7521060,HS324525,05/24/2010 06:50:00 PM,044XX S ALBANY AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,true,false,0912,009,14,58,04A,1156444,1875004,2010,02/04/2016 06:33:39 AM,41.812790336,-87.701680521,"(41.812790336, -87.701680521)"
7521061,HS324518,05/24/2010 08:00:00 AM,050XX S KENNETH AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0815,008,23,57,05,1147548,1870784,2010,02/04/2016 06:33:39 AM,41.801384819,-87.734419486,"(41.801384819, -87.734419486)"
7521063,HS324445,05/24/2010 03:00:00 PM,012XX W 69TH ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,DAY CARE CENTER,true,false,0724,007,17,67,26,1169054,1859022,2010,02/04/2016 06:33:39 AM,41.768670211,-87.655888673,"(41.768670211, -87.655888673)"
7521064,HS324506,05/24/2010 06:40:00 PM,047XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0931,009,20,61,18,1166467,1873388,2010,02/04/2016 06:33:39 AM,41.808147803,-87.664961971,"(41.808147803, -87.664961971)"
7521065,HS323737,05/24/2010 10:00:00 AM,007XX W GARFIELD BLVD,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,0934,009,3,61,05,1172288,1868397,2010,02/04/2016 06:33:39 AM,41.79432577,-87.643758888,"(41.79432577, -87.643758888)"
7521066,HS324568,05/24/2010 03:25:00 PM,028XX S ARCHER AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,true,true,0923,009,11,60,04B,1169259,1886251,2010,02/04/2016 06:33:39 AM,41.843385108,-87.654348758,"(41.843385108, -87.654348758)"
7521067,HS324429,05/24/2010 05:55:00 PM,004XX W 32ND ST,0820,THEFT,$500 AND UNDER,SIDEWALK,true,false,0924,009,11,60,06,1173673,1883715,2010,02/04/2016 06:33:39 AM,41.836329213,-87.638225795,"(41.836329213, -87.638225795)"
